County,Population,Residential: Single-Family Tons Per Year Collected,Residential: Single-Family Tons Per Year Recycled,%,Residential: Multi- Family Tons Per Year Collected,Residential: Multi-Family Tons Per Year Recycled,%,Commercial Tons Per Year Collected,Commercial Tons Per Year Recycled,%,total_ton,total_recycle,%
Miami-Dade,"2,733,125","1,670,592","303,516",18%,"1,214,976","220,739",18%,"2,176,832","395,489",18%,"5,062,400","919,744",18%
Broward,"1,873,970","834,396","67,706",8%,"225,383","32,294",14%,"2,829,339","1,191,545",42%,"3,889,118","1,291,545",33%
Palm Beach,"1,411,246","1,090,753","493,119",45%,"586,935","265,349",45%,"1,770,107","800,248",45%,"3,447,795","1,558,716",45%
Hillsborough,"1,379,302","491,298","76,226",16%,"429,886","77,591",18%,"2,149,430","1,398,005",65%,"3,070,614","1,551,822",51%
Orange,"1,313,880","863,907","207,338",24%,"287,969","37,436",13%,"2,197,835","802,077",36%,"3,349,711","1,046,851",31%
Pinellas,"960,949","633,398","287,926",45%,"367,157","126,509",34%,"1,146,556","763,606",67%,"2,147,111","1,178,041",55%
Duval,"936,811","465,871","61,045",13%,"144,679","8,178",6%,"2,347,599","1,644,317",70%,"2,958,149","1,713,540",58%
Lee,"698,468","347,053","188,261",54%,"140,303","31,377",22%,"1,113,991","586,668",53%,"1,601,347","806,306",50%
Polk,"661,645","347,429","51,903",15%,"56,038","2,884",5%,"717,272","233,565",33%,"1,120,739","288,352",26%
Brevard,"575,211","717,269","386,427",54%,"114,111","61,477",54%,"798,777","430,339",54%,"1,630,157","878,243",54%
Volusia,"521,745","501,801","209,329",42%,"167,267","129,160",77%,"446,047","106,891",24%,"1,115,115","445,380",40%
Pasco,"505,709","288,437","26,396",9%,"34,814","3,186",9%,"652,553","352,323",54%,"975,804","381,905",39%
Seminole,"454,757","197,307","32,695",17%,"34,160","2,946",9%,"473,696","247,483",52%,"705,163","283,124",40%
Sarasota,"407,260","628,737","184,017",29%,"110,953","20,446",18%,"503,486","309,169",61%,"1,243,176","513,632",41%
Manatee,"368,782","174,196","62,738",36%,"36,499","8,635",24%,"693,390","399,979",58%,"904,085","471,352",52%
Collier,"357,470","187,442","121,319",65%,"107,697","23,496",22%,"888,177","592,626",67%,"1,183,316","737,441",62%
Marion,"349,267","267,686","148,500",55%,"230,251","145,785",63%,"302,288","185,328",61%,"800,225","479,613",60%
Osceola,"337,287","150,000","15,000",10%,"95,000","5,000",5%,"173,869","37,721",22%,"418,869","57,721",14%
Lake,"331,724","200,000","35,500",18%,572,244,43%,"235,567","17,000",7%,"436,139","52,744",12%
Escambia,"310,786","223,200","79,655",36%,"104,160","43,448",42%,"416,641","238,964",57%,"744,001","362,067",49%
St. Lucie,"297,634","226,774","143,013",63%,"120,946","50,319",42%,"156,222","71,507",46%,"503,942","264,839",53%
Leon,"287,899","106,641","13,551",13%,"69,698","7,529",11%,"531,444","436,269",82%,"707,783","457,349",65%
Alachua,"260,003","69,121","19,827",29%,"39,219","11,249",29%,"679,646","412,855",61%,"787,986","443,931",56%
St. Johns,"229,715","108,839","20,118",18%,"51,723","10,688",21%,"274,711","52,383",19%,"435,273","83,189",19%
Clay,"208,549","119,896","17,000",14%,"31,870","16,172",51%,"119,885","15,344",13%,"271,651","48,516",18%
